0.356mm;Vdoble;Vdobleoffset;Vsencilla;Vsencillaoffset
1.8;0.011;0.004;0.007;0
1.9;0.018;0.011;0.007;0
2;0.04;0.033;0.007;0
2.1;0.069;0.062;0.007;0
2.2;0.091;0.084;0.007;0
2.3;0.09;0.083;0.007;0
2.4;0.065;0.058;0.007;0
2.5;0.034;0.027;0.007;0
2.6;0.024;0.017;0.008;0.001
2.7;0.059;0.052;0.009;0.002
2.8;0.134;0.127;0.012;0.005
2.9;0.211;0.204;0.015;0.008
3;0.251;0.244;0.02;0.013
3.1;0.223;0.216;0.025;0.018
3.2;0.141;0.134;0.03;0.023
3.3;0.057;0.05;0.036;0.029
3.4;0.038;0.031;0.041;0.034
3.5;0.112;0.105;0.048;0.041
3.6;0.253;0.246;0.055;0.048
3.7;0.397;0.39;0.062;0.055
3.8;0.454;0.447;0.07;0.063
3.9;0.383;0.376;0.076;0.069
4;0.229;0.222;0.087;0.08
4.1;0.086;0.079;0.096;0.089
4.2;0.045;0.038;0.105;0.098
4.3;0.156;0.149;0.114;0.107
4.4;0.372;0.365;0.123;0.116
4.5;0.565;0.558;0.13;0.123
4.6;0.629;0.622;0.139;0.132
4.7;0.52;0.513;0.148;0.141
4.8;0.294;0.287;0.157;0.15
4.9;0.089;0.082;0.165;0.158
5;0.035;0.028;0.172;0.165
5.1;0.157;0.15;0.179;0.172
5.2;0.399;0.392;0.187;0.18
5.3;0.625;0.618;0.193;0.186
5.4;0.682;0.675;0.199;0.192
5.5;0.554;0.547;0.202;0.195
5.6;0.304;0.297;0.205;0.198
5.7;0.093;0.086;0.208;0.201
5.8;0.026;0.019;0.212;0.205
5.9;0.135;0.128;0.212;0.205
6;0.344;0.337;0.211;0.204
6.1;0.538;0.531;0.21;0.203
6.2;0.579;0.572;0.207;0.2
6.3;0.458;0.451;0.205;0.198
6.4;0.261;0.254;0.199;0.192
6.5;0.08;0.073;0.194;0.187
6.6;0.022;0.015;0.188;0.181
6.7;0.094;0.087;0.182;0.175
6.8;0.24;0.233;0.174;0.167
6.9;0.359;0.352;0.166;0.159
7;0.379;0.372;0.159;0.152
7.1;0.298;0.291;0.15;0.143
7.2;0.166;0.159;0.141;0.134
7.3;0.063;0.056;0.132;0.125
7.4;0.028;0.021;0.123;0.116
7.5;0.066;0.059;0.114;0.107
7.6;0.129;0.122;0.105;0.098
7.7;0.176;0.169;0.095;0.088
7.8;0.175;0.168;0.086;0.079
7.9;0.131;0.124;0.078;0.071
8;0.079;0.072;0.069;0.062
8.1;0.043;0.036;0.061;0.054
8.2;0.033;0.026;0.057;0.05
8.3;0.04;0.033;0.047;0.04
8.4;0.05;0.043;0.04;0.033
8.5;0.052;0.045;0.034;0.027
8.6;0.045;0.038;0.028;0.021
8.7;0.034;0.027;0.023;0.016
8.8;0.025;0.018;0.018;0.011
8.9;0.009;0.002;0.015;0.008
9;0.008;0.001;0.01;0.003
