Doble0.457mm;Toma1;Toma2;Toma3;Toma4;Toma5;Toma1Fix;Toma2Fix;Toma3Fix;Toma4Fix;Toma5Fix;Prom;Desv
1;23;29;16;29;24;18.4;24.4;11.4;24.4;19.4;19.6;5.357238094
1.1;20;23;29;27;26;15.4;18.4;24.4;22.4;21.4;20.4;3.535533906
1.2;25;18;21;26;23;20.4;13.4;16.4;21.4;18.4;18;3.209361307
1.3;28;21;18;19;23;23.4;16.4;13.4;14.4;18.4;17.2;3.962322551
1.4;22;28;19;27;27;17.4;23.4;14.4;22.4;22.4;20;3.911521443
1.5;33;32;36;32;31;28.4;27.4;31.4;27.4;26.4;28.2;1.923538406
1.6;39;41;39;37;38;34.4;36.4;34.4;32.4;33.4;34.2;1.483239697
1.7;58;60;53;56;54;53.4;55.4;48.4;51.4;49.4;51.6;2.863564213
1.8;68;62;59;75;64;63.4;57.4;54.4;70.4;59.4;61;6.188699379
1.9;70;78;65;63;66;65.4;73.4;60.4;58.4;61.4;63.8;5.941380311
2;66;73;57;62;65;61.4;68.4;52.4;57.4;60.4;60;5.856620186
2.1;62;61;60;56;56;57.4;56.4;55.4;51.4;51.4;54.4;2.828427125
2.2;69;71;67;71;63;64.4;66.4;62.4;66.4;58.4;63.6;3.346640106
2.3;112;104;108;106;123;107.4;99.4;103.4;101.4;118.4;106;7.536577473
2.4;171;175;172;161;162;166.4;170.4;167.4;156.4;157.4;163.6;6.300793601
2.5;178;186;186;193;194;173.4;181.4;181.4;188.4;189.4;182.8;6.46529195
2.6;145;154;156;159;158;140.4;149.4;151.4;154.4;153.4;149.8;5.594640292
2.7;94;87;99;101;96;89.4;82.4;94.4;96.4;91.4;90.8;5.412947441
2.8;78;78;83;83;90;73.4;73.4;78.4;78.4;85.4;77.8;4.929503018
2.9;167;175;171;173;176;162.4;170.4;166.4;168.4;171.4;167.8;3.577708764
3;300;290;293;281;281;295.4;285.4;288.4;276.4;276.4;284.4;8.154753215
3.1;356;345;356;359;362;351.4;340.4;351.4;354.4;357.4;351;6.426507605
3.2;243;245;266;269;256;238.4;240.4;261.4;264.4;251.4;251.2;11.81947545
3.3;129;125;117;116;124;124.4;120.4;112.4;111.4;119.4;117.6;5.540758071
3.4;82;95;86;74;75;77.4;90.4;81.4;69.4;70.4;77.8;8.619744776
3.5;255;204;199;209;197;250.4;199.4;194.4;204.4;192.4;208.2;24.04578965
3.6;389;402;425;435;411;384.4;397.4;420.4;430.4;406.4;407.8;18.21537812
3.7;532;553;575;563;605;527.4;548.4;570.4;558.4;600.4;561;27.08874305
3.8;360;345;348;348;341;355.4;340.4;343.4;343.4;336.4;343.8;7.092249291
3.9;148;159;153;162;144;143.4;154.4;148.4;157.4;139.4;148.6;7.463243263
4;76;76;69;78;56;71.4;71.4;64.4;73.4;51.4;66.4;9.055385138
4.1;202;203;215;223;214;197.4;198.4;210.4;218.4;209.4;206.8;8.848728722
4.2;514;489;457;503;438;509.4;484.4;452.4;498.4;433.4;475.6;31.85435606
4.3;779;733;767;831;756;774.4;728.4;762.4;826.4;751.4;768.6;36.4856136
4.4;372;387;371;372;377;367.4;382.4;366.4;367.4;372.4;371.2;6.68580586
4.5;152;141;134;140;145;147.4;136.4;129.4;135.4;140.4;137.8;6.655824517
4.6;66;62;71;62;59;61.4;57.4;66.4;57.4;54.4;59.4;4.636809248
4.7;199;195;210;198;210;194.4;190.4;205.4;193.4;205.4;197.8;7.092249291
4.8;437;455;487;486;478;432.4;450.4;482.4;481.4;473.4;464;21.87007087
4.9;513;531;530;531;576;508.4;526.4;525.4;526.4;571.4;531.6;23.53083084
5;330;311;313;342;318;325.4;306.4;308.4;337.4;313.4;318.2;13.02689526
5.1;128;138;137;133;142;123.4;133.4;132.4;128.4;137.4;131;5.319774431
5.2;57;69;71;69;71;52.4;64.4;66.4;64.4;66.4;62.8;5.899152482
5.3;160;160;165;163;160;155.4;155.4;160.4;158.4;155.4;157;2.302172887
5.4;295;304;297;304;299;290.4;299.4;292.4;299.4;294.4;295.2;4.086563348
5.5;335;334;337;316;331;330.4;329.4;332.4;311.4;326.4;326;8.443932733
5.6;254;241;239;240;243;249.4;236.4;234.4;235.4;238.4;238.8;6.107372594
5.7;94;108;103;97;104;89.4;103.4;98.4;92.4;99.4;96.6;5.630275304
5.8;61;54;67;65;58;56.4;49.4;62.4;60.4;53.4;56.4;5.244044241
5.9;113;117;103;116;110;108.4;112.4;98.4;111.4;105.4;107.2;5.630275304
6;174;185;174;170;178;169.4;180.4;169.4;165.4;173.4;171.6;5.674504384
6.1;171;175;173;185;162;166.4;170.4;168.4;180.4;157.4;168.6;8.258329129
6.2;144;135;140;139;134;139.4;130.4;135.4;134.4;129.4;133.8;4.037325848
6.3;79;80;71;78;74;74.4;75.4;66.4;73.4;69.4;71.8;3.78153408
