I;Toma1;Toma2;Toma3;Toma4;Toma5;Toma6;Toma7;Toma8;Toma9;Toma10;Toma1Fix;Toma2Fix;Toma3Fix;Toma4Fix;Toma5Fix;Toma6Fix;Toma7Fix;Toma8Fix;Toma9Fix;Toma10Fix;Prom;SqrtProm;Desv
1;25;36;38;44;33;36;38;35;47;39;20.4;31.4;33.4;39.4;28.4;31.4;33.4;30.4;42.4;34.4;32.5;5.700877125;5.971227307
2;40;39;33;41;36;44;37;48;31;35;35.4;34.4;28.4;36.4;31.4;39.4;32.4;43.4;26.4;30.4;33.8;5.813776741;5.125101625
3;39;40;39;41;30;36;35;36;37;42;34.4;35.4;34.4;36.4;25.4;31.4;30.4;31.4;32.4;37.4;32.9;5.73585216;3.503966007
4;53;48;47;49;58;49;52;46;50;54;48.4;43.4;42.4;44.4;53.4;44.4;47.4;41.4;45.4;49.4;46;6.782329983;3.65756446
5;57;60;64;63;54;62;64;70;56;56;52.4;55.4;59.4;58.4;49.4;57.4;59.4;65.4;51.4;51.4;56;7.483314774;4.926120854
6;94;87;80;82;87;85;90;91;87;93;89.4;82.4;75.4;77.4;82.4;80.4;85.4;86.4;82.4;88.4;83;9.110433579;4.526465386
7;122;149;129;125;126;131;138;123;134;131;117.4;144.4;124.4;120.4;121.4;126.4;133.4;118.4;129.4;126.4;126.2;11.23387734;8.107609594
8;184;181;160;156;173;174;191;175;164;163;179.4;176.4;155.4;151.4;168.4;169.4;186.4;170.4;159.4;158.4;167.5;12.94217911;11.27879032
9;235;229;248;205;227;230;248;228;223;234;230.4;224.4;243.4;200.4;222.4;225.4;243.4;223.4;218.4;229.4;226.1;15.03662196;12.3472894
10;296;286;285;300;306;289;309;276;291;304;291.4;281.4;280.4;295.4;301.4;284.4;304.4;271.4;286.4;299.4;289.6;17.01763791;10.60188662
